消火栓名,消火栓名(英語),消火栓分類,消防団,管理番号,都道府県名,市区町村名,行政区名,住所,対象範囲の直径(m),配水管口径(mm),貯水量(t),緯度,経度,分離器（有、無）,標準地域コード
消火栓,,消火栓,鯖江第1分団,116,福井県,鯖江市,,長泉寺町1丁目2-21,120,50,,35.9508541778,136.1868482417,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,117,福井県,鯖江市,,小黒町3丁目5-26,120,100,,35.9571842917,136.1727172806,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,118,福井県,鯖江市,,小黒町3丁目8-9,120,100,,35.9573125333,136.1756412917,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,119,福井県,鯖江市,,小黒町1丁目15-18,100,75,,35.9581509694,136.1763487556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,120,福井県,鯖江市,,長泉寺町2丁目2-57,120,250,,35.9569790361,136.1866368389,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,121,福井県,鯖江市,,小黒町1丁目3-55-4,120,75,,35.9493842306,136.1792383556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,122,福井県,鯖江市,,旭町4丁目4-26,120,75,,35.9486059944,136.1869595778,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,123,福井県,鯖江市,,有定町3丁目10-5,120,75,,35.9503028083,136.1736219444,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,124,福井県,鯖江市,,小黒町2丁目8-20,120,75,,35.9510322472,136.1741683472,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,125,福井県,鯖江市,,小黒町1丁目3-9,120,300,,35.9491992889,136.1777232417,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,126,福井県,鯖江市,,柳町2丁目13-1,120,75,,35.9484777444,136.1905211667,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,127,福井県,鯖江市,,旭町4丁目5-1,120,75,,35.9492894194,136.1872664528,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,128,福井県,鯖江市,,小黒町3丁目5-7-3,120,75,,35.9578805722,136.1716956861,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,129,福井県,鯖江市,,有定町1丁目1-22,120,150,,35.9472696972,136.1779684472,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,130,福井県,鯖江市,,小黒町3丁目11-28,120,150,,35.956100275,136.1736646222,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,131,福井県,鯖江市,,桜町2丁目1-21-2,120,75,,35.9446454806,136.1806214972,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,132,福井県,鯖江市,,本町1丁目2-10,100,75,,35.9451710417,136.1853427833,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,133,福井県,鯖江市,,本町1丁目4-25,100,200,,35.9444161417,136.1851503833,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,134,福井県,鯖江市,,旭町1丁目6-8,120,75,,35.9448481,136.1862224306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,135,福井県,鯖江市,,旭町1丁目5-3,100,100,,35.9444244056,136.1870904167,無,http://statdb.nstac.go.jp/lod/sac/C18207
